#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:HBV" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:HBV" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:HBV" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:HBV" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:HBV">
#                    <trait id="dateTrait.t:HBV" spec="beast.evolution.tree.TraitSet" traitname="date" value="AB033550_1988_33.3431887795_134.9307404236=1988,AB033554_1985_-2.3045941592_118.5275669247=1985,AB111946_1998_15.880672531_106.7863444469=1998,AB112066_1999_15.2357758333_97.1170427803=1999,AB112471_2002_10.826174473_100.0321841486=2002,AB117759_2004_11.8647366524_104.4581350327=2004,AB198076_2001_31.3068442593_109.4304560078=2001,AB205128_2000_67.7822238778_83.2782706988=2000,AB205190_2000_7.0869990345_-0.6788566207=2000,AB219428_2002_11.4823584448_122.5890168578=2002,AJ344117_1990_46.339250578_1.5156738165=1990,AY341335_2003_37.779236413_24.2931907174=2003,AY641558_2003_39.8942378947_126.8819515526=2003,AY721605_2004_39.1656946813_32.8656198791=2004,AY738147_1998_-4.6027905391_22.3356877351=1998,DQ060824_1983_-21.3700228571_19.1068796429=1983,DQ315776_2000_17.9831869307_84.5569572724=2000">
#                        <taxa id="TaxonSet.HBV" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.HBV"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="KappaPrior.s:HBV" name="distribution">
#            <parameter id="kappa.s:HBV" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:HBV" name="distribution" x="@popSize.t:HBV">
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="alpha">0.01</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="beta">100.0</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@HBV" id="treeLikelihood.HBV" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:HBV">
#            <siteModel id="SiteModel.s:HBV" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:HBV" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:HBV" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:HBV" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:HBV" kappa="@kappa.s:HBV" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:HBV" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:HBV" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:HBV" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:HBV" name="clock.rate">2.0E-5</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	popSize	CoalescentConstant	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-43199.8096207185	-43168.987616715895	-30.822004002608043	-43168.987616715895	23.164295973085004	2.0	0.3	-25.50004546501453	0.25	0.25	0.25	0.25
1000	-16586.603621171653	-15348.840105238849	-1237.7635159328022	-15348.840105238849	548.9355995219678	2.0	3.174134998478966	-1230.0773981666775	0.25	0.25	0.25	0.25
2000	-13269.860810241235	-12810.285769374486	-459.57504086674766	-12810.285769374486	2550.3073743840987	2.3308846483720886	78.87402903612967	-447.8207008392099	0.25	0.25398608662058836	0.24601391337941167	0.25
3000	-12539.46513382972	-12337.85168788866	-201.61344594106018	-12337.85168788866	3421.5940803227572	2.3308846483720886	2521.3635802740832	-162.00415430559147	0.25	0.25398608662058836	0.24601391337941167	0.25
4000	-12530.987176026032	-12330.436372749082	-200.55080327694986	-12330.436372749082	3520.9242516074482	2.3308846483720886	2077.8354294396836	-165.56833158370435	0.25	0.25398608662058836	0.24165710090911136	0.2543568124703003
5000	-12521.215710704262	-12319.140535361836	-202.07517534242663	-12319.140535361836	3433.0822933819713	2.3308846483720886	2560.327514343663	-162.06106239239764	0.25	0.25398608662058836	0.23883794063479719	0.25717597274461446
6000	-12520.453079458704	-12318.18774892613	-202.26533053257396	-12318.18774892613	3499.312845524086	2.3308846483720886	2352.003157834434	-164.41848028245457	0.25	0.25933455130388633	0.23248371030699239	0.2581817383891213
7000	-12521.152276576986	-12321.289968924884	-199.86230765210234	-12321.289968924884	3436.2059635162937	3.1296520810980857	2489.8863346874086	-160.28676151333983	0.25	0.2560222702771085	0.23248371030699239	0.2614940194158991
8000	-12520.906895721087	-12317.592966956323	-203.31392876476474	-12317.592966956323	3860.5943845683005	3.1296520810980857	2363.2614568665435	-165.056303882461	0.25	0.2560222702771085	0.23248371030699239	0.2614940194158991
9000	-12516.399626607628	-12315.93315570804	-200.46647089958796	-12315.93315570804	3495.7291524006937	3.1296520810980857	2437.120806280575	-161.43978556331876	0.25	0.2560222702771085	0.23248371030699239	0.2614940194158991
10000	-12527.48701323227	-12323.576232822232	-203.91078041003817	-12323.576232822232	3576.6517011884043	3.1296520810980857	2479.5078383109417	-164.4431544378412	0.251691141410391	0.2560222702771085	0.23079256889660138	0.2614940194158991
11000	-12517.803967424099	-12314.456723681917	-203.34724374218243	-12314.456723681917	3401.5144184347687	3.1296520810980857	2452.325216184835	-164.16235720266928	0.24591423570457455	0.2560222702771085	0.23471800166814485	0.2633454923501721
12000	-12520.428885557716	-12317.072606623413	-203.35627893430265	-12317.072606623413	3285.964290002008	3.1296520810980857	2127.4005892064115	-167.5613530951995	0.24591423570457455	0.2560222702771085	0.23471800166814485	0.2633454923501721
13000	-12518.821022303602	-12318.656851678243	-200.16417062536	-12318.656851678243	3492.6610392310017	2.8377177662881565	1796.087033388276	-167.95366276772054	0.24642346635706697	0.2560222702771085	0.23471800166814485	0.26283626169767965
14000	-12513.726227777224	-12311.322744035793	-202.40348374143124	-12311.322744035793	3373.2907200710515	2.8377177662881565	2621.585424067469	-161.56360483512842	0.24642346635706697	0.2560222702771085	0.23471800166814485	0.26283626169767965
15000	-12514.940058086944	-12312.245336200735	-202.69472188620927	-12312.245336200735	3482.2507807188954	2.8377177662881565	2336.8489407438733	-164.8160338978003	0.251861065050153	0.2560222702771085	0.22928040297505883	0.26283626169767965
16000	-12518.045670927333	-12315.044387108961	-203.0012838183716	-12315.044387108961	3322.8317661872734	2.8377177662881565	2257.5664372417755	-165.94959168510456	0.251861065050153	0.2560222702771085	0.23037933123980942	0.2617373334329291
17000	-12527.911183106406	-12322.907775230738	-205.00340787566728	-12322.907775230738	3615.054170628148	2.8377177662881565	2838.1639525558953	-161.9191593762945	0.251861065050153	0.24672995596192168	0.23037933123980942	0.2710296477481159
