#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:HBV" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:HBV" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:HBV" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:HBV" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:HBV">
#                    <trait id="dateTrait.t:HBV" spec="beast.evolution.tree.TraitSet" traitname="date" value="AB033550_1988_33.3431887795_134.9307404236=1988,AB033554_1985_-2.3045941592_118.5275669247=1985,AB111946_1998_15.880672531_106.7863444469=1998,AB112066_1999_15.2357758333_97.1170427803=1999,AB112471_2002_10.826174473_100.0321841486=2002,AB117759_2004_11.8647366524_104.4581350327=2004,AB198076_2001_31.3068442593_109.4304560078=2001,AB205128_2000_67.7822238778_83.2782706988=2000,AB205190_2000_7.0869990345_-0.6788566207=2000,AB219428_2002_11.4823584448_122.5890168578=2002,AJ344117_1990_46.339250578_1.5156738165=1990,AY341335_2003_37.779236413_24.2931907174=2003,AY641558_2003_39.8942378947_126.8819515526=2003,AY721605_2004_39.1656946813_32.8656198791=2004,AY738147_1998_-4.6027905391_22.3356877351=1998,DQ060824_1983_-21.3700228571_19.1068796429=1983,DQ315776_2000_17.9831869307_84.5569572724=2000">
#                        <taxa id="TaxonSet.HBV" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.HBV"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="KappaPrior.s:HBV" name="distribution">
#            <parameter id="kappa.s:HBV" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:HBV" name="distribution" x="@popSize.t:HBV">
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="alpha">0.01</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="beta">100.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="ucldStdevPrior.c:HBV" name="distribution">
#            <parameter id="ucldStdev.c:HBV" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.1" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.7" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@HBV" id="treeLikelihood.HBV" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:HBV">
#            <siteModel id="SiteModel.s:HBV" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:HBV" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:HBV" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:HBV" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:HBV" kappa="@kappa.s:HBV" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:HBV" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:HBV" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:HBV" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:HBV">
#                <LogNormal S="@ucldStdev.c:HBV" id="LogNormalDistributionModel.c:HBV" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.5" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="32" id="rateCategories.c:HBV" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:HBV" name="clock.rate">2.0E-5</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	popSize	CoalescentConstant	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-47158.59542766753	-47150.04186223613	-47158.59542766753	8.553565431397884	-47158.59542766753	21.253732930696337	0.5781106187670944	0.10148759037293427	14.34611363835907	0.8248306750127201	1.659187523321851E-5	1.4716246612978738E-10	0.7519773329206171	0.23453511290975118	0.24431470555728915	0.2831618366490478	0.23798834488391205
1	-46816.12764623173	-46807.01607453897	-46816.12764623173	9.111571692760414	-46816.12764623173	21.06485735892488	0.24137164902824793	0.16610367002711368	12.080157764840028	0.03341909553312694	2.0160796027037503E-5	4.714450473073298E-13	0.03413878639670199	0.2351665289897862	0.23138103952495853	0.278238140795761	0.25521429068949447
2	-46774.93068537987	-46763.397732780606	-46774.93068537987	11.532952599262739	-46774.93068537987	21.238978784692325	1.2240146983002096	0.1522973584104128	17.770154880868294	0.7795006530861335	4.0293623044743695E-5	4.852807280393139E-10	0.9780471687025316	0.23829058953418905	0.24028384422489074	0.25854360014825395	0.26288196609266623
3	-44591.48619114436	-44602.50170436376	-44591.48619114436	-11.015513219403939	-44591.48619114436	21.185522182166935	0.5323809595704128	0.5854728996462246	-2.4385186479297447	1.1628554038466128	1.2913769029490208E-5	5.254354854561945E-10	1.427089560949473	0.24231574006662246	0.2500705469878362	0.2573164217071357	0.2502972912384057
4	-44366.35658653166	-44367.8327483034	-44366.35658653166	-1.4761617717372124	-44366.35658653166	21.190345843866734	0.650395194761385	0.2743998757457564	3.331155033131134	0.2676383879543664	1.9568202322200185E-5	3.8026603280355905E-11	0.2783313830407913	0.24050266235733356	0.23611490607344748	0.25837802461178644	0.2650044069574325
5	-43754.972897353604	-43768.516330904895	-43754.972897353604	-13.543433551287343	-43754.972897353604	21.860711229922824	1.8299541730159392	0.4739468448865665	-8.926491579039858	0.0669513386023014	1.9591490944715053E-5	1.28471486742805E-12	0.05671062578822618	0.23990926597941234	0.22224390560207524	0.2715088798542379	0.26633794856427473
6	-43520.063712726085	-43531.36434461088	-43520.063712726085	-11.30063188479874	-43520.063712726085	21.56836043536956	0.5764570299292782	0.6082477575443201	-7.0232155207617755	0.052283651705326915	2.043935429277755E-5	7.044951584595269E-13	0.042060201948919816	0.23671630178355996	0.22793180372581692	0.27005445536834866	0.26529743912227466
7	-43344.27717601901	-43365.65487099117	-43344.27717601901	-21.377694972166175	-43344.27717601901	21.796740032949828	0.38759388662265926	0.8170445902376969	-13.132369234073124	0.930850886236822	2.1625164489891336E-5	5.291591125996791E-10	1.039778701915637	0.24134522616858445	0.2490151407721027	0.2775704619944886	0.23206917106482436
8	-42780.203547708064	-42778.14761644388	-42780.203547708064	2.055931264187975	-42780.203547708064	21.213029763672843	0.3106281971497338	0.24833871342652025	5.384019387607301	0.0385247317966765	2.026827092337556E-5	4.75987826885936E-13	0.03439626585960652	0.2510861553449077	0.2569374685264458	0.25162343704391943	0.24035293908472716
9	-42549.254181956996	-42551.216531164544	-42549.254181956996	-1.9623492075482534	-42549.254181956996	21.170598412258997	0.9208061609548038	0.4316131334975851	2.6346038386128146	0.12429295992729389	1.9205579887257848E-5	6.5632414557877454E-12	0.13131117640565335	0.23990926597941234	0.22224390560207524	0.2715088798542379	0.26633794856427473
10	-42391.68319617385	-42421.81785618424	-42391.68319617385	-30.13466001039579	-42391.68319617385	21.978136089650118	0.9794431063391755	1.3510982478088789	-24.914149947993522	0.056960272460090576	1.927085286535872E-5	8.63452805216157E-13	0.0470818646115973	0.23975617789271392	0.23402703248499765	0.2715882125706855	0.25462857705160313
11	-42270.82071212093	-42268.39337120265	-42270.82071212093	2.427340918280473	-42270.82071212093	21.248457183015514	2.790677215065849	0.26305783284417456	5.702607128550392	0.008060959262788442	2.010221788657484E-5	3.07150069141028E-14	0.00874164956227682	0.2315067175874384	0.2379657780161958	0.2688958613235513	0.2616316430728147
12	-42179.003786560366	-42185.641905231074	-42179.003786560366	-6.63811867070757	-42179.003786560366	22.187664450400714	0.6632195679516422	0.3854814334712134	-6.535037413405011	2.1424929837838904E-5	2.0000015041220326E-5	1.8092425022044993E-19	2.126753498911811E-5	0.22771171545414304	0.2208745486166973	0.258995116848365	0.29241861908079486
13	-42023.054414768805	-42039.2464299978	-42023.054414768805	-16.1920152289998	-42023.054414768805	21.139074245570324	1.9093067808691953	0.8472687363012964	-8.983231227975768	0.47783573294117015	1.800266160803681E-5	1.654572920869838E-10	0.5903326952611461	0.24414856377207572	0.22855423477694706	0.28143538068733887	0.24586182076363866
