#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:HBV" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:HBV" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:HBV" name="popSize">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:HBV" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:HBV">
#                    <trait id="dateTrait.t:HBV" spec="beast.evolution.tree.TraitSet" traitname="date" value="AB033550_1988_33.3431887795_134.9307404236=1988,AB033554_1985_-2.3045941592_118.5275669247=1985,AB111946_1998_15.880672531_106.7863444469=1998,AB112066_1999_15.2357758333_97.1170427803=1999,AB112471_2002_10.826174473_100.0321841486=2002,AB117759_2004_11.8647366524_104.4581350327=2004,AB198076_2001_31.3068442593_109.4304560078=2001,AB205128_2000_67.7822238778_83.2782706988=2000,AB205190_2000_7.0869990345_-0.6788566207=2000,AB219428_2002_11.4823584448_122.5890168578=2002,AJ344117_1990_46.339250578_1.5156738165=1990,AY341335_2003_37.779236413_24.2931907174=2003,AY641558_2003_39.8942378947_126.8819515526=2003,AY721605_2004_39.1656946813_32.8656198791=2004,AY738147_1998_-4.6027905391_22.3356877351=1998,DQ060824_1983_-21.3700228571_19.1068796429=1983,DQ315776_2000_17.9831869307_84.5569572724=2000">
#                        <taxa id="TaxonSet.HBV" spec="beast.evolution.alignment.TaxonSet">
#                        </taxa>
#                    </trait>
#                    <taxonset idref="TaxonSet.HBV"/>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="KappaPrior.s:HBV" name="distribution">
#            <parameter id="kappa.s:HBV" lower="0.0" name="x">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.1" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.2" name="S">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="PopSizePrior.t:HBV" name="distribution" x="@popSize.t:HBV">
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.3" name="alpha">0.01</parameter>
#                <parameter estimate="false" id="RealParameter.4" name="beta">100.0</parameter>
#            </Gamma>
#        </prior>
#        <prior id="ucldStdevPrior.c:HBV" name="distribution">
#            <parameter id="ucldStdev.c:HBV" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.1" name="distr">
#                <parameter estimate="false" id="RealParameter.6" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.7" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@HBV" id="treeLikelihood.HBV" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:HBV">
#            <siteModel id="SiteModel.s:HBV" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:HBV" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:HBV" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:HBV" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:HBV" kappa="@kappa.s:HBV" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:HBV" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:HBV" lower="0.0" name="frequencies" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:HBV" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:HBV">
#                <LogNormal S="@ucldStdev.c:HBV" id="LogNormalDistributionModel.c:HBV" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.5" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="32" id="rateCategories.c:HBV" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:HBV" name="clock.rate">2.0E-5</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	popSize	CoalescentConstant	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4
0	-40629.69905114637	-40579.44291794875	-50.2561331976142	-40579.44291794875	22.283130260646978	2.0	0.3	-45.75353880514149	0.1	1.948789383266359E-5	3.5433739640727195E-12	0.0951361781401221	0.25	0.25	0.25	0.25
1000	-20320.335356951473	-19115.721764345235	-1204.6135926062382	-19115.721764345235	302.15133361388723	2.238312461609283	3.5930612519100142	-1194.4489313163863	0.8904477662612704	4.1713896512229585E-5	5.13539552765656E-10	0.6475622285859928	0.25	0.25	0.25	0.25
2000	-12745.007327260397	-12500.977997515527	-244.02932974487	-12500.977997515527	1866.6696288811604	2.238312461609283	172.29622242929466	-226.61964294006418	1.462545639416809	4.002806875071311E-5	2.2335425729309137E-9	0.8358116000369806	0.25	0.25	0.25	0.25
3000	-12534.156413004324	-12358.289684667368	-175.8667283369552	-12358.289684667368	1943.2714381204883	2.7201543803721746	831.9410595494114	-150.23814364208206	1.4219565110412635	4.185043888411506E-5	1.9605546296091087E-9	0.7430870064159381	0.24852928639180855	0.25	0.25147071360819145	0.25
4000	-12480.645580526552	-12310.523224548637	-170.12235597791593	-12310.523224548637	1954.6307828177698	2.7201543803721746	1253.2253082732725	-140.24799975654207	1.2959428593704732	4.728806151802214E-5	2.0355691050256226E-9	0.6813456648575521	0.24852928639180855	0.25	0.25147071360819145	0.25
5000	-12478.837508129844	-12307.512756847638	-171.32475128220474	-12307.512756847638	1908.5024074912183	2.7201543803721746	1257.838935161159	-141.3948761073905	1.2978748647686764	4.55912613053662E-5	2.3309416158715445E-9	0.7284897114783162	0.24852928639180855	0.25	0.25147071360819145	0.25
6000	-12482.68135601699	-12311.753336860871	-170.92801915611923	-12311.753336860871	2029.0293181325987	2.7201543803721746	1564.0275663480909	-138.0521138150021	1.1869637555639962	4.423290351491938E-5	1.6469153982450345E-9	0.6568746355602998	0.24852928639180855	0.25	0.25147071360819145	0.25
7000	-12475.635753221555	-12306.933892789593	-168.70186043196153	-12306.933892789593	1806.4957042643593	2.7201543803721746	997.6459639939652	-142.11285584402455	1.1279651213791237	4.8652012306109576E-5	1.6068524164678978E-9	0.6396440114330869	0.24852928639180855	0.25	0.25147071360819145	0.25
8000	-12479.363650544308	-12310.480701952969	-168.88294859133913	-12310.480701952969	1938.5310604198678	2.7201543803721746	1239.6637090580653	-139.60193584006896	1.1467544789269757	4.73145142006193E-5	1.82900757819361E-9	0.6555924311083198	0.24852928639180855	0.25	0.25147071360819145	0.25
9000	-12472.758608830827	-12302.421845506282	-170.33676332454465	-12302.421845506282	1746.8683427961462	3.1039263260489203	849.7667534454076	-145.23021081339112	1.1337692110750124	4.83474684508077E-5	1.7617638072934763E-9	0.6481862062018308	0.24852928639180855	0.25	0.24491536012574025	0.2565553534824512
10000	-12474.927075901242	-12302.125750367639	-172.80132553360315	-12302.125750367639	1845.9565655961158	3.1039263260489203	1055.1857002902373	-145.67137819979897	1.0531240314843102	4.583167702342675E-5	1.5083635468375781E-9	0.6611418104607263	0.24852928639180855	0.25	0.24491536012574025	0.2565553534824512
11000	-12479.363869994475	-12306.654198448638	-172.70967154583832	-12306.654198448638	1853.828239493738	3.1039263260489203	1477.9152895942984	-141.12814084399227	1.0174561704995353	4.4103832147021254E-5	1.2697318900088832E-9	0.6313179705769465	0.24852928639180855	0.25	0.24491536012574025	0.2565553534824512
12000	-12471.639785409392	-12300.47373168208	-171.166053727312	-12300.47373168208	1800.9166089934733	2.712403431277891	1230.079591854524	-142.23404229437932	1.0668031291471838	4.5442373131834305E-5	1.683298614284267E-9	0.6843440396867941	0.24852928639180855	0.25	0.24491536012574025	0.2565553534824512
13000	-12472.650662661377	-12301.70898559373	-170.9416770676465	-12301.70898559373	1722.9886064915897	2.712403431277891	1075.7946600574637	-143.5758521362628	1.102736020273287	4.401657960033017E-5	1.6456881285399905E-9	0.6974449723590727	0.24852928639180855	0.25	0.24491536012574025	0.2565553534824512
14000	-12474.702683453675	-12303.836817124462	-170.86586632921362	-12303.836817124462	1707.3491738984644	2.712403431277891	1213.3112022322778	-142.02676195134754	1.0958297082830624	4.5930363422616486E-5	1.61448044347995E-9	0.6819132154227976	0.24852928639180855	0.25	0.24491536012574025	0.2565553534824512
15000	-12477.301747112495	-12304.561172015732	-172.74057509676194	-12304.561172015732	1894.0768272588164	2.712403431277891	1147.89910710315	-145.15459471868922	0.9189712573512048	4.0726172263081874E-5	9.394638167996167E-10	0.600941188193282	0.24852928639180855	0.25	0.24491536012574025	0.2565553534824512
